case_no,processing_center,case_status,received_date,decision_date,employer_name,employer_address_1,employer_address_2,employer_city,employer_state,employer_postal_code,alien_citizenship_country,employer_job_title,wage_offered_from,wage_offered_to,wage_per,prevailing_wage_job_title,pw_amount,pw_level,pw_soc_code,pw_soc_title,application_type
C-05089-00381,Chicago Processing Center,Denied,3/30/2005 0:00:00,,LOUISIANA OFFICE OF PUBLIC HEALTH/STATE CENTER FOR,325 LOYOLA AVE. ROOM 505,,NEW ORLEANS,LOUISIANA,70112,TAIWAN,PUBLIC HEALTH EPIDEMIOLOGIST,$52374.00,,Year,PUBLIC HEALTH EPIDEMIOLOGIST,38251,Level I,19-1041.00,Epidemiologists,PERM
C-05089-00387,Chicago Processing Center,Denied,3/30/2005 0:00:00,,"NEW MEXICO HEART INSTITUTE, P.A.",502 ELM ST. NE,,ALBUQUERQUE,NEW MEXICO,87102,CANADA,Cardiologist,$200000.00,,Year,"Physicians and Surgeons, All Other",50.96,Level II,29-1069.99,"Physicians and Surgeons, All Other",PERM
C-05089-00390,Chicago Processing Center,Denied,3/30/2005 0:00:00,,"HYDRO USA, CO.",1220 37TH ST. NW,,AUBURN,WASHINGTON,98001,IRELAND,Sales Engineer,$86362.00,,Year,Sales Engineer,86362,Level IV,41-9031.00,Sales Engineers,PERM
C-05090-00435,Chicago Processing Center,Certified,4/11/2005 0:00:00,8/11/2005 12:33:14,MONSANTO COMPANY,800 N. LINDBERGH BLVD.,E2NK,ST. LOUIS,MISSOURI,63167,INDIA,Trait Integration Manager,$70000.00,,Year,Agricultural and Food Scientists (19-1010),38938,Level IV,19-1013.01,Plant Scientists,PERM
C-05090-00444,Chicago Processing Center,Denied,4/20/2005 0:00:00,,INNOVATIONS WEST INC,1805 NORTH CARSON STREET #114,,CARSON CITY,NEVADA,89701,YUGOSLAVIA,Electrical Controls Engineer,$72000.00,,Year,Electrical Engineer,69826,Level IV,17-2071.00,Electrical Engineers,PERM
C-05090-00463,Chicago Processing Center,Denied,3/31/2005 0:00:00,,DEBORAH CHEW & ASSOCIATES,"4370 LA JOLLA VILLAGE DR., #650",,SAN DIEGO,CALIFORNIA,92122,SINGAPORE,Public Relations Specialist,$38500.00,,Year,Public Relations Specialists,18.45,Level II,27-3031.00,Public Relations Specialists,PERM
C-05090-00465,Chicago Processing Center,Denied,3/31/2005 0:00:00,,OKUMA FISHING TACKLE CORP.,2310 E. LOCUST COURT,,ONTARIO,CALIFORNIA,91761,TAIWAN,Accountant,$36774.00,,Year,Accountants and Auditors,36774,Level I,13-2011.01,Accountants,PERM
C-05090-00483,Chicago Processing Center,Denied,3/31/2005 0:00:00,,"ROSES SOUTHWEST PAPERS, INC.",1701 SECOND ST. SW,,ALBUQUERQUE,NEW MEXICO,87102,ITALY,"Division Manager, Tissue Converting Division",$76500.00,,Year,Industrial Production Managers,30.29,Level III,11-3051.00,Industrial Production Managers,PERM
C-05090-00485,Chicago Processing Center,Denied,3/31/2005 0:00:00,,DEBORAH CHEW & ASSOCIATES,"4370 LA JOLLA VILLAGE DR., #650",,SAN DIEGO,CALIFORNIA,92122,SINGAPORE,Public Relations Specialist,$38500.00,,Year,Public Relations Specialists,18.45,Level II,27-3031.00,Public Relations Specialists,PERM
C-05090-00487,Chicago Processing Center,Denied,3/31/2005 0:00:00,,DEBORAH CHEW & ASSOCIATES,"4370 LA JOLLA VILLAGE DR., #650",,SAN DIEGO,CALIFORNIA,92122,SINGAPORE,Public Relations Specialist,$38500.00,,Year,Public Relations Specialists,18.45,Level II,27-3031.00,Public Relations Specialists,PERM
C-05090-00489,Chicago Processing Center,Denied,4/13/2005 0:00:00,,"MPC STUDIOS, INC.",722 EAST MORGAN BOULEVARD,SUITE Z,HARLINGEN,TEXAS,78550,CANADA,Lead Programmer,$30000.00,$36000.00,Year,Lead Programmer,27435,Level I,15-1021.00,Computer Programmers,PERM
C-05090-00496,Chicago Processing Center,Denied,3/31/2005 0:00:00,,"SANDIEGOAPARTMENTS.COM, INC.",2878 CAMINO DEL RIO SOURTH #100,,SAN DIEGO,CALIFORNIA,92108,INDONESIA,Public Relations Specialists,$58000.00,,Year,Public Relations Specialists,18.45,Level II,27-3031.00,Public Relations Specialists,PERM
C-05090-00497,Chicago Processing Center,Denied,3/31/2005 0:00:00,,"HYDRO USA, CO.",1220 37TH ST. NW,,AUBURN,WASHINGTON,98001,IRELAND,Sales Engineer,$86362.00,,Year,Sales Engineer,86362,Level IV,41-9031.00,Sales Engineers,PERM
C-05090-00501,Chicago Processing Center,Denied,3/31/2005 0:00:00,,"SQUAR, MILNER, REEHL & WILLIAMSON, LLP",4100 NEWPORT PLACE,THIRD FLOOR,NEWPORT BEACH,CALIFORNIA,92660,EGYPT,STAFF AUDITOR,$65410.00,,Year,STAFF AUDITOR,38626,Level I,13-2011.00,Accountants and Auditors,PERM
C-05090-00506,Chicago Processing Center,Denied,3/31/2005 0:00:00,,"PERIPHERAL COMPUTER SUPPORT, INC.",44131 NOBEL DRIVE,,SAN DIEGO,CALIFORNIA,94538,SINGAPORE,Technical Support Specialist,$52000.00,,Year,Computer Support Specialist,21.01,Level II,15-1041.00,Computer Support Specialists,PERM
C-05090-00515,Chicago Processing Center,Denied,4/1/2005 0:00:00,,PACIFIC NORTHWEST RESEARCH INSTITUTE,720 BROADWAY,,SEATTLE,WASHINGTON,98122,CHINA,Postdoctoral Research Fellow,$39800.00,,Year,Postdoctoral Research Fellow,35963,Level I,19-1042.00,"Medical Scientists, Except Epidemiologists",PERM
C-05091-00529,Chicago Processing Center,Denied,4/20/2005 0:00:00,,INNOTRAC CORPORATION,6655 SUGARLOAF PARKWAY,,DULUTH,GEORGIA,30097,ROMANIA,Systems Analyst -- Logistics,$70000.00,,Year,Systems Analyst - Logistics,64126,Level III,15-1051.00,Computer Systems Analysts,PERM
C-05091-00542,Chicago Processing Center,Denied,4/1/2005 0:00:00,,"COMPUTRITION, INC.",19808 NORDHOFF PLACE,,CHATSWORTH,CALIFORNIA,91311,CANADA,Training (Nutrition) Specialist,$67000.00,,Year,Dietitians and Nutritionists,27.12,Level III,29-1031.00,Dietitians and Nutritionists,PERM
C-05091-00561,Chicago Processing Center,Denied,4/1/2005 0:00:00,,"SQUAR, MILNER, REEHL & WILLIAMSON, LLP",4100 NEWPORT PLACE,THIRD FLOOR,NEWPORT BEACH,CALIFORNIA,92660,EGYPT,STAFF AUDITOR,$65410.00,,Year,STAFF AUDITOR,38626,Level I,13-2011.00,Accountants and Auditors,PERM
C-05091-00574,Chicago Processing Center,Denied,4/8/2005 0:00:00,,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,ONE GRAND AVENUE,,SAN LUIS OBISPO,CALIFORNIA,93407,INDONESIA,Assistant Professor of Accounting,$90144.00,,Year,Assistant Professor of Accounting,90144,,25-1063.00,"Economics Teachers, Postsecondary",PERM
C-05091-00576,Chicago Processing Center,Denied,4/19/2005 0:00:00,,LOBO PROFESIONAL SERVICES,1550 S. FEDERAL UNIT H,,DENVER,COLORADO,80219,MEXICO,INSURANCE SALES,$19.00,$20.00,Hour,INSURANCE SALES,18.54,Level I,13-2053.00,Insurance Underwriters,PERM
C-05091-00585,Chicago Processing Center,Denied,4/1/2005 0:00:00,,LOUISIANA OFFICE OF PUBLIC HEALTH/STATE CENTER FOR,325 LOYOLA AVE. ROOM 505,,NEW ORLEANS,LOUISIANA,70112,TAIWAN,PUBLIC HEALTH EPIDEMIOLOGIST,$52374.00,,Year,PUBLIC HEALTH EPIDEMIOLOGIST,38251,Level I,19-1041.00,Epidemiologists,PERM
C-05091-00587,Chicago Processing Center,Certified,4/7/2005 0:00:00,7/18/2005 12:40:42,"SAN JOAQUIN VALLEY PULMONARY MED GROUP, INC",3551 Q STREET #100,,BAKERSFIELD,CALIFORNIA,93301,BURMA (MYANMAR),Internist,$150000.00,,Year,Internist,65.5,Level II,29-1063.00,"Internists, General",PERM
C-05091-00594,Chicago Processing Center,Denied,4/1/2005 0:00:00,,"TALK CREATIVE DESIGN STUDIO, INC.","9909 SCRIPPS WESTVIEW, SUITE 213",,SAN DIEGO,CALIFORNIA,92131,INDONESIA,Graphic Designers,$48200.00,,Year,Graphic Designers,23.15,Level IV,27-1024.00,Graphic Designers,PERM
C-05091-00598,Chicago Processing Center,Denied,4/1/2005 0:00:00,,COCOART & FURNITURE,"7310 MIRAMAR BLVD., #330",,SAN DIEGO,CALIFORNIA,92126,INDONESIA,Operations Analyst,$65200.00,,Year,Business Operations Specialists,31.33,Level II,13-1199.99,"Business Operations Specialists, All Other",PERM
C-05091-00602,Chicago Processing Center,Withdrawn,4/14/2005 0:00:00,,"NORAN ENGINEERING, INC.",5555 GARDEN GROVE BLVD.,SUITE 300,WESTMINSTER,CALIFORNIA,92683,UNITED KINGDOM,Technical Manager,$105000.00,,Year,Engineering Manager,101602,,11-9041.00,Engineering Managers,PERM
C-05091-00605,Chicago Processing Center,Denied,4/1/2005 0:00:00,,"SANDIEGOAPARTMENTS.COM, INC.",2878 CAMINO DEL RIO SOUTH #100,,SAN DIEGO,CALIFORNIA,92108,CANADA,Training (Nutrition) Specialist,$67000.00,,Year,Dietitians and Nutritionists,27.12,Level II,29-1031.00,Dietitians and Nutritionists,PERM
C-05091-00606,Chicago Processing Center,Denied,4/22/2005 0:00:00,,"TRT BUSINESS NETWORK SOLUTIONS, INC.",3505 CADILLAC AVE.,UNIT F9,COSTA MESA,CALIFORNIA,92626,TAIWAN,Web Developer/Web Designer,$45947.00,,Year,Web Developer/Web Designer,45947,Level I,15-1021.00,Computer Programmers,PERM
C-05091-00607,Chicago Processing Center,Denied,4/1/2005 0:00:00,,FANCOR GUEST HOME,631-651 TAFT AVE.,,EL CAJON,CALIFORNIA,92020,PHILIPPINES,Head Chef,$22200.00,,Year,"cooks, restaurant",10.66,Level IV,35-2014.00,"Cooks, Restaurant",PERM
C-05092-00611,Chicago Processing Center,Denied,7/7/2005 0:00:00,,"TRANSIT SYSTEMS UNLIMITED, INC.",8976 LAUREL CANYON BLVD.,,SUN VALLEY,CALIFORNIA,91352,COLOMBIA,Bilingual Information Technology Specialist,$16.50,$18.50,Hour,Bilingual Information Specialist,16.5,Level I,15-1099.99,"Computer Specialists, All Other",PERM
C-05092-00613,Chicago Processing Center,Denied,4/2/2005 0:00:00,,"CAPITAL MARKET SERVICES, LLP",350 FIFTH AVE. SUITE 6411,EMPIRE STATE BUILDING,NEW YORK,NEW YORK,10118,CHINA,FINANCIAL ANALYST,$32000.00,$42000.00,Year,FINANCIAL ANALYST,42000,Level III,13-2051.00,Financial Analysts,PERM
C-05094-00621,Chicago Processing Center,Denied,4/19/2005 0:00:00,,KFORCE INC.,1001 EAST PALM AVENUE,,TAMPA,FLORIDA,33605,INDIA,Systems Engineer,$62000.00,,Year,Systems Engineer,61630,Level II,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05094-00623,Chicago Processing Center,Denied,4/18/2005 0:00:00,,"HOOSIER CARE, INC. D/BA/ SWANN SPECIAL CARE CENTER",2418 W. SPRINGFIELD,,CHAMPAIGN,ILLINOIS,61821,PHILIPPINES,Habilitation aide,$7.29,,Hour,Habilitation Aide,7.29,Level I,31-1013.00,Psychiatric Aides,PERM
C-05094-00626,Chicago Processing Center,Withdrawn,4/4/2005 0:00:00,,"PAN ACEAN, INC.",777 S. MACARTHUR BLVD.,SUITE 401,COPPELL,TEXAS,75019,SOUTH KOREA,"Cook, Chinese Food",$28800.00,,Year,"Cook, Chinese Food",21299,Level III,35-2014.00,"Cooks, Restaurant",PERM
C-05094-00635,Chicago Processing Center,Denied,4/22/2005 0:00:00,,SEEBEYOND TECHNOLOGY CORPORATION,800 E. ROYAL OAKS,,MONROVIA,CALIFORNIA,91016,PORTUGAL,Quality Assurance Engineer Analyst,$45011.00,$78125.00,Year,Computer System Analyst,37.56,Level II,15-1051.00,Computer Systems Analysts,PERM
C-05094-00637,Chicago Processing Center,Denied,4/4/2005 0:00:00,,"COMPUTRITION, INC.",19808 NORDHOFF PLACE,,CHATSWORTH,CALIFORNIA,91311,CANADA,Training (Nutrition) Specialist,$67000.00,,Year,Dietitians and Nutritionists,27.12,Level II,29-1031.00,Dietitians and Nutritionists,PERM
C-05094-00647,Chicago Processing Center,Denied,4/4/2005 0:00:00,,COCOART & FURNITURE,"7847 DUNBROOK RD., STE #C",,SAN DIEGO,CALIFORNIA,92126,INDONESIA,Operations Analyst,$65200.00,,Year,Business Operations Specialists,31.33,Level IV,13-1199.99,"Business Operations Specialists, All Other",PERM
C-05094-00654,Chicago Processing Center,Denied,4/4/2005 0:00:00,,"TALK CREATIVE DESIGN STUDIO, INC.","9909 SCRIPPS WESTVIEW, SUITE 213",,SAN DIEGO,CALIFORNIA,92131,INDONESIA,Graphic Designers,$48200.00,,Year,Graphic Designers,23.15,Level IV,27-1024.00,Graphic Designers,PERM
C-05094-00658,Chicago Processing Center,Denied,5/25/2005 0:00:00,,DYNASTY CHINESE SEAFOOD RESTAURANT INC.,380 NORTH FIRST STREET,,SAN JOSE,CALIFORNIA,95112,CHINA,Accountant,$43908.80,,Year,Accountant,21.11,Level I,13-2011.01,Accountants,PERM
C-05094-00661,Chicago Processing Center,Denied,4/6/2005 0:00:00,,"PRO VERSATILE, INC.","46750 FREMONT BLVD., #107",,FREMONT,CALIFORNIA,94538,TAIWAN,Credit Analyst,$46.60,,Hour,Credit Analyst,46.6,Level II,13-2051.00,Financial Analysts,PERM
C-05094-00665,Chicago Processing Center,Denied,4/4/2005 0:00:00,,"SQUAR, MILNER, REEHL & WILLIAMSON, LLP",4100 NEWPORT PLACE,THIRD FLOOR,NEWPORT BEACH,CALIFORNIA,92660,EGYPT,STAFF AUDITOR,$65410.00,,Year,STAFF AUDITOR,38626,Level I,13-2011.00,Accountants and Auditors,PERM
C-05094-00670,Chicago Processing Center,Withdrawn,4/6/2005 0:00:00,,"JAFRA COSMETICS INTERNATIONAL, INC.",2451 TOWNSGATE ROAD,,WESTLAKE VILLAGE,CALIFORNIA,91361,MEXICO,"Director, Business Planning",$90000.00,$100000.00,Year,Marketing Manager,85301,,11-2021.00,Marketing Managers,PERM
C-05094-00674,Chicago Processing Center,Certified,4/15/2005 0:00:00,9/29/2005 16:21:22,"PERSONAL AWARENESS SYSTEMS, INC.",307 BRIDGEWAY,P.O. BOX 100,SAUSALITO,CALIFORNIA,94966,JAPAN,Management Analyst,$52978.00,,Year,Management Analyst,52978,Level I,13-1111.00,Management Analysts,PERM
C-05094-00675,Chicago Processing Center,Denied,4/5/2005 0:00:00,,UNIVERSITY OF WASHINGTON,C/O INTERNATIONAL SERVICES OFFICE,"1400 NE CAMPUS PKWY, BOX 355832",SEATTLE,WASHINGTON,98195-5832,SOUTH KOREA,Assistant Professor,$6000.00,,Month,Environmental Science Teachers,3661,Level I,25-1053.00,"Environmental Science Teachers, Postsecondary",PERM
C-05095-00688,Chicago Processing Center,Denied,4/5/2005 0:00:00,,SYNOVA INC,"50 WEST BIG BEAVER, SUITE 460",,TROY,MICHIGAN,48084,INDIA,Database Administrator,$60000.00,,Year,Database Administrator,23.85,Level II,15-1061.00,Database Administrators,PERM
C-05095-00704,Chicago Processing Center,Withdrawn,5/2/2005 0:00:00,,"EMPOWER PROFESSIONALS, INC",559 D'ONOFRIO DRIVE,SUITE # 102,MADISON,WISCONSIN,53719,INDIA,Software Engineer,$55000.00,,Year,SOFTWARE ENGINEER,23.35,Level II,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05095-00711,Chicago Processing Center,Denied,4/14/2005 0:00:00,,MAHASKA HEALTH PARTNERSHIP,1229 C AVENUE EAST,,OSKALOOSA,IOWA,52577,PHILIPPINES,Staff Medical Technologist/Technician,$16.45,,Hour,Staff Medical Technologist/Technician,14.77,Level I,29-2012.00,Medical and Clinical Laboratory Technicians,PERM
C-05095-00713,Chicago Processing Center,Denied,3/31/2005 0:00:00,,"TRC SOLUTIONS, INC.",21 TECHNOLOGY DRIVE,,IRVINE,CALIFORNIA,92618,CANADA,Civil Engineer,$72000.00,$82000.00,Year,Civil Engineer,71198,,17-2051.00,Civil Engineers,PERM
C-05095-00719,Chicago Processing Center,Denied,4/8/2005 0:00:00,,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,ONE GRAND AVENUE,,SAN LUIS OBISPO,CALIFORNIA,93407,INDIA,Assistant Professor of Marketing,$90144.00,,Year,Assistant Professor of Marketing,90144,,25-1011.00,"Business Teachers, Postsecondary",PERM
C-05095-00720,Chicago Processing Center,Denied,4/22/2005 0:00:00,,"HOOSIER CARE, INC. D/BA/ SWANN SPECIAL CARE CENTER",2418 W. SPRINGFIELD,,CHAMPAIGN,ILLINOIS,61821,PHILIPPINES,Habilitation aide,$7.29,,Hour,Habilitation Aide,7.29,Level I,31-1013.00,Psychiatric Aides,PERM
C-05095-00722,Chicago Processing Center,Denied,4/5/2005 0:00:00,,UNIVERSITY OF WASHINGTON,"C/O INTERNATIONAL SERVICES, BOX 355832",1400 NE CAMPUS PARKWAY,SEATTLE,WASHINGTON,98195-5832,UNITED KINGDOM,Associate Professor,$15834.00,,Month,Health Specialties Teachers,8437,Level II,25-1071.00,"Health Specialties Teachers, Postsecondary",PERM
C-05095-00723,Chicago Processing Center,Denied,4/5/2005 0:00:00,,"COMPREHENSIVE AUTISM SERVICES AND EDUCATION, INC.","580 BEECH AVE., STE B",,CARLSBAD,CALIFORNIA,92008,LEBANON,Behavioral Analyst,$44000.00,,Year,Clinical Counseling & School Psychologist,20.41,Level II,19-3031.00,"Clinical, Counseling, and School Psychologists",PERM
C-05095-00725,Chicago Processing Center,Denied,4/5/2005 0:00:00,,BUNKIE GENERAL HOSPITAL,427 EVERGREEN STREET,P.O. BOX 380,BUNKIE,LOUISIANA,71322,INDIA,Staff Physician,$145000.00,,Year,Family and General Practitioners,134618,Level IV,29-1062.00,Family and General Practitioners,PERM
C-05095-00728,Chicago Processing Center,Denied,4/5/2005 0:00:00,,"SANDIEGOAPARTMENTS.COM, INC.",2878 CAMINO DEL RIO SOUTH #100,,SAN DIEGO,CALIFORNIA,92108,INDONESIA,Public Relations Specialists,$58000.00,,Year,Public Relations Specialists,18.45,Level II,27-3031.00,Public Relations Specialists,PERM
C-05095-00733,Chicago Processing Center,Denied,4/6/2005 0:00:00,,PACIFIC NORTHWEST RESEARCH INSTITUTE,720 BROADWAY,,SEATTLE,WASHINGTON,98122,CHINA,Postdoctoral Research Fellow,$39800.00,,Year,Medical Scientist,37476,Level I,19-1042.00,"Medical Scientists, Except Epidemiologists",PERM
C-05096-00744,Chicago Processing Center,Withdrawn,5/6/2005 0:00:00,,"APRIO TECHNOLOGIES, INC.",2520 MISSION COLLEGE BLVD.,SUITE 201,SANTA CLARA,CALIFORNIA,95054,TAIWAN,PRINCIPAL ENGINEER,$130000.00,,Year,"COMPUTER SOFTWARE ENGINEERS, SYSTEMS SOFTWARE",113984,Level IV,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05096-00747,Chicago Processing Center,Denied,4/6/2005 0:00:00,,UNIVERSITY OF WASHINGTON,"C/O INTERNATIONAL SERVICES, BOX 355832",1400 NE CAMPUS PARKWAY,SEATTLE,WASHINGTON,98195-5832,UNITED KINGDOM,Research Assistant Professor,$6250.00,,Month,"Health Specialties Teachers, postsecondary",3233,Level I,25-1071.00,"Health Specialties Teachers, Postsecondary",PERM
C-05096-00755,Chicago Processing Center,Denied,4/6/2005 0:00:00,,UNIVERSITY OF WASHINGTON,"C/O INTERNATIONAL SERVICES, BOX 355832",1400 NE CAMPUS PARKWAY,SEATTLE,WASHINGTON,98195-5832,UNITED KINGDOM,Professor,$8700.00,,Month,"Agricultural Sciences Teachers, postsecondary",5161,Level II,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",PERM
C-05096-00760,Chicago Processing Center,Denied,4/6/2005 0:00:00,,UNIVERSITY OF WASHINGTON,"C/O INTERNATIONAL SERVICES, BOX 355832",1400 NE CAMPUS PARKWAY,SEATTLE,WASHINGTON,98195-5832,INDIA,Research Assistant Professor,$5000.00,,Month,"Health Specialties Teachers, postsecondary",3233,Level I,25-1071.00,"Health Specialties Teachers, Postsecondary",PERM
C-05096-00781,Chicago Processing Center,Denied,4/7/2005 0:00:00,,"COMPREHENSIVE AUTISM SERVICES AND EDUCATION, INC.","580 BEECH AVE., STE B",,CARLSBAD,CALIFORNIA,92008,LEBANON,Behavioral Analyst,$44000.00,,Year,Clinical Counseling & School Psychologist,20.41,Level I,19-3031.00,"Clinical, Counseling, and School Psychologists",PERM
C-05096-00787,Chicago Processing Center,Certified,4/6/2005 0:00:00,9/2/2005 14:28:42,"JAFRA COSMETICS INTERNATIONAL, INC.",2451 TOWNSGATE ROAD,,WESTLAKE VILLAGE,CALIFORNIA,91361,MEXICO,"Director, Business Planning",$90000.00,$100000.00,Year,Marketing Manager,85301,,11-2021.00,Marketing Managers,PERM
C-05096-00791,Chicago Processing Center,Denied,4/6/2005 0:00:00,,"VISWERX, INC.","333 TWIN DOLPHIN DRIVE, # 145",,REDWOOD CITY,CALIFORNIA,94065,SINGAPORE,Technical Support Specialist,$72620.00,,Year,Computer Support Specialist,24.39,Level III,15-1041.00,Computer Support Specialists,PERM
C-05097-00795,Chicago Processing Center,Denied,4/7/2005 0:00:00,,VERISILICON INC.,"4699 OLD IRONSIDES DRIVE, SUITE 270",,SANTA CLARA,CALIFORNIA,95054,CHINA,IC Design Engineer,$86300.00,,Year,IC Design Engineer,86216,Level III,17-2072.00,"Electronics Engineers, Except Computer",PERM
C-05097-00798,Chicago Processing Center,Denied,4/7/2005 0:00:00,,RECONNEX CORPORATION,201-B RAVENDALE DRIVE,,MOUNTAIN VIEW,CALIFORNIA,94043,CHINA,Senior Software Engineer,$110000.00,,Year,Senior Software Engineer,99590,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05097-00801,Chicago Processing Center,Denied,4/7/2005 0:00:00,,TECHEXCEL INC.,"3675 MT. DIABLO BLVD., SUITE 200",,LAFAYETTE,CALIFORNIA,94549,CHINA,Software Engineer,$97500.00,,Year,Software Engineer,97323,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05097-00813,Chicago Processing Center,Denied,4/7/2005 0:00:00,,"COLUMBIA BASIN IMAGING, P.C",712 SWIFT BLVD,STE 3A,RICHLAND,WASHINGTON,99352,INDIA,Interventional Radiologist,$300000.00,,Year,Interventional Radiologist,85654,Level IV,29-1199.99,"Health Diagnosing and Treating Practitioners, All",PERM
C-05097-00824,Chicago Processing Center,Denied,5/17/2005 0:00:00,,"SIGMA DESIGNS, INC.",1221 CALIFORNIA CIRCLE,,MILPITAS,CALIFORNIA,95035,CHINA,Software Engineer (Senior Software Engineer),$99200.00,,Year,Software System Engineer,91949,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05097-00827,Chicago Processing Center,Certified,4/7/2005 0:00:00,7/25/2005 10:58:13,"COMPREHENSIVE AUTISM SERVICES AND EDUCATION, INC.","580 BEECH AVE., STE B",,CARLSBAD,CALIFORNIA,92008,LEBANON,Behavioral Analyst,$44000.00,,Year,Clinical Counseling & School Psychologist,20.41,Level I,19-3031.00,"Clinical, Counseling, and School Psychologists",PERM
C-05097-00828,Chicago Processing Center,Denied,4/8/2005 0:00:00,,"LIGHTEL TECHNOLOGIES, INC.",1034 CENTRAL AVE. S.,,KENT,WASHINGTON,98032,CHINA,Optical Engineer,$57866.00,,Year,Optical Engineer,57866,Level I,17-2199.99,"Engineers, All Other",PERM
C-05097-00834,Chicago Processing Center,Certified,5/6/2005 0:00:00,8/17/2005 10:50:34,BAYLOR COLLEGE OF MEDICINE,ONE BAYLOR PLAZA,ATTEN. INTERNATIONAL SERVICES OFFICE,HOUSTON,TEXAS,77030,COLOMBIA,Assistant Professor of Radiology,$125000.00,,Year,Associate Professor of Radiology,53061,Level III,29-1199.99,"Health Diagnosing and Treating Practitioners, All",PERM
C-05097-00835,Chicago Processing Center,Denied,4/7/2005 0:00:00,,TECHEXCEL INC.,"3675 MT. DIABLO BLVD., SUITE 200",,LAFAYETTE,CALIFORNIA,94549,CHINA,Software Engineer,$97500.00,,Year,Software Engineer,97323,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05097-00836,Chicago Processing Center,Certified,4/19/2005 0:00:00,8/12/2005 12:10:09,LUXOFT USA INC,136 SUMMIT AVE,SUITE 104,MONTVALE,NEW JERSEY,07645,RUSSIA,Project Manager,$113000.00,,Year,Computer and Information Systems Manager,89606,Level II,11-3021.00,Computer and Information Systems Managers,PERM
C-05097-00850,Chicago Processing Center,Denied,4/7/2005 0:00:00,,TECHEXCEL INC.,"3675 MT. DIABLO BLVD., SUITE 200",,LAFAYETTE,CALIFORNIA,94549,CHINA,Software Engineer,$97500.00,,Year,Software Systems Engineer,97323,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05097-00853,Chicago Processing Center,Certified,6/17/2005 0:00:00,7/29/2005 10:49:33,UNIVERSITY OF WISCONSIN-MILWAUKEE,CENTER FOR INTERNATIONAL EDUCATION,PO BOX 413,MILWAUKEE,WISCONSIN,53201,CHINA,Assistant Professor,$52000.00,,Year,Assistant Professor,34350,Level I,25-1122.00,"Communications Teachers, Postsecondary",PERM
C-05097-00855,Chicago Processing Center,Denied,4/14/2005 0:00:00,,"PIT RIVER HEALTH SERVICE, INC.",36977 PARK AVENUE,,BURNEY,CALIFORNIA,96013,INDIA,FISCAL OFFICER,$60600.00,,Year,FISCAL OFFICER,29.11,Level IV,13-2011.01,Accountants,PERM
C-05097-00856,Chicago Processing Center,Denied,4/7/2005 0:00:00,,"SANDIEGOAPARTMENTS.COM, INC.",2878 CAMINO DEL RIO SOUTH #100,,SAN DIEGO,CALIFORNIA,92108,INDONESIA,Public Relations Specialists,$58000.00,,Year,Public Relations Specialists,18.45,Level II,27-3031.00,Public Relations Specialists,PERM
C-05097-00863,Chicago Processing Center,Withdrawn,4/7/2005 0:00:00,,ASKOV CORPORATION,6109 93RD ST SW,,LAKEWOOD,WASHINGTON,98499,VIETNAM,Market Research Analyst,$38000.00,,Year,Market Research Analyst,37523,Level I,19-3021.00,Market Research Analysts,PERM
C-05097-00864,Chicago Processing Center,Denied,4/7/2005 0:00:00,,CBC STEEL BUILDINGS,1700 E. LOUISE AVENUE,,LATHROP,CALIFORNIA,95330,CHINA,Structural Engineer,$71000.00,,Year,Civil Engineers,70637,Level IV,17-2051.00,Civil Engineers,PERM
C-05097-00867,Chicago Processing Center,Withdrawn,4/14/2005 0:00:00,,MRV COMMUNICATIONS INC.,20415 NORDHOFF STREET,,CHATSWORTH,CALIFORNIA,91311,SWITZERLAND,Validation Engineer,$78000.00,,Year,Validation Engineer,37.23,,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05097-00871,Chicago Processing Center,Denied,4/7/2005 0:00:00,,RECONNEX CORPORATION,201-B RAVENDALE DRIVE,,MOUNTAIN VIEW,CALIFORNIA,94043,CHINA,Senior Software Engineer,$110000.00,,Year,Software Systems Engineer,99590,Level III,15-1032.00,"Computer Software Engineers, Systems Software",PERM
C-05098-00881,Chicago Processing Center,Withdrawn,4/18/2005 0:00:00,,OREGON STATE HOSPITAL,2600 CENTER STREET NE,,SALEM,OREGON,97301-2682,INDIA,Staff Psychiatrist,$127072.00,,Year,Psychiatrist,92434,Level I,29-1066.00,Psychiatrists,PERM
C-05098-00886,Chicago Processing Center,Denied,4/8/2005 0:00:00,,KNIGHTSBRIDGE SOLUTIONS LLC,"500 W. MADISON, SUITE 3100",,CHICAGO,ILLINOIS,60661,INDIA,Senior Consultant,$112500.00,,Year,Computer and Information Systems Manager,112278,Level II,11-3021.00,Computer and Information Systems Managers,PERM
